Order ID,Order Date,Product,Category,Region,Quantity,Sales,Profit
76,2025-03-26,Headphones,Accessories,East,7,5585,1618.39
77,2025-05-10,Mouse,Accessories,East,2,48169,13487.77
78,2025-03-17,Mouse,Accessories,South,7,22376,4038.42
79,2025-06-23,Phone,Electronics,South,7,44576,12841.13
80,2025-01-01,Monitor,Electronics,East,10,20723,3755.32
81,2025-06-05,Headphones,Accessories,East,4,29173,7501.89
82,2025-05-11,Keyboard,Accessories,West,8,29977,7048.36
83,2025-05-12,Mouse,Accessories,East,3,44178,5167.02
84,2025-02-20,Laptop,Electronics,South,4,45092,7308.69
85,2025-06-06,Laptop,Electronics,North,1,17046,5059.03
86,2025-06-28,Keyboard,Accessories,West,7,42272,9094.15
87,2025-06-26,Keyboard,Accessories,North,7,16989,2200.32
88,2025-06-28,Laptop,Electronics,West,7,15341,2073.76
89,2025-02-01,Laptop,Electronics,West,9,17331,4913.23
90,2025-05-24,Phone,Electronics,East,8,44750,9228.63
91,2025-04-20,Keyboard,Accessories,West,10,48138,13401.81
92,2025-03-05,Phone,Electronics,East,8,30495,4630.31
93,2025-04-23,Monitor,Electronics,North,8,42074,6220.61
94,2025-03-23,Mouse,Accessories,North,5,16367,2526.13
95,2025-02-09,Phone,Electronics,South,3,16155,2853.09
96,2025-04-30,Laptop,Electronics,West,7,27712,4605.08
97,2025-05-30,Laptop,Electronics,North,4,28534,5076.07
98,2025-04-01,Monitor,Electronics,East,7,32259,3263.94
99,2025-05-20,Keyboard,Accessories,South,7,36272,9049.98
100,2025-01-08,Keyboard,Accessories,West,4,18887,3535.03
101,2025-04-30,Headphones,Accessories,South,7,48459,6445.48
102,2025-06-01,Monitor,Electronics,North,9,2767,778.59
103,2025-02-16,Laptop,Electronics,North,7,9893,2704.45
104,2025-03-25,Headphones,Accessories,East,7,22453,3195.78
105,2025-01-21,Keyboard,Accessories,West,5,28627,4307.06
106,2025-03-31,Laptop,Electronics,South,9,4413,1323.82
107,2025-01-08,Mouse,Accessories,South,2,43713,4723.26
108,2025-02-02,Phone,Electronics,West,1,41719,5443.35
109,2025-04-30,Mouse,Accessories,East,2,37960,10991.37
110,2025-01-30,Headphones,Accessories,South,3,40707,9014.54
111,2025-03-21,Headphones,Accessories,West,2,38924,4092.3
112,2025-06-10,Keyboard,Accessories,South,4,5980,1306.15
113,2025-01-31,Laptop,Electronics,North,5,45843,10089.23
114,2025-01-18,Headphones,Accessories,East,9,29074,6754.01
115,2025-04-03,Laptop,Electronics,West,7,33125,4011.7
116,2025-05-14,Mouse,Accessories,East,3,29540,3994.62
117,2025-06-01,Monitor,Electronics,East,9,32686,6307.57
118,2025-04-26,Headphones,Accessories,South,4,6679,1040.49
119,2025-03-28,Keyboard,Accessories,North,10,40998,9578.68
120,2025-04-01,Keyboard,Accessories,East,6,12917,2551.24
121,2025-03-12,Headphones,Accessories,North,5,40069,9626.05
122,2025-04-15,Monitor,Electronics,West,4,6610,980.07
123,2025-05-06,Monitor,Electronics,West,4,46259,9030.62
124,2025-06-27,Laptop,Electronics,South,2,20283,2927.23
125,2025-05-16,Headphones,Accessories,East,10,25184,4902.12
126,2025-04-27,Keyboard,Accessories,East,9,22678,3863.47
127,2025-02-19,Headphones,Accessories,East,5,16108,1999.5
128,2025-02-25,Laptop,Electronics,West,9,46230,6334.9
129,2025-01-26,Headphones,Accessories,South,10,35382,7761.33
130,2025-01-04,Headphones,Accessories,South,4,24650,3349.65
131,2025-06-28,Headphones,Accessories,South,1,4573,963.4
132,2025-05-27,Mouse,Accessories,East,8,7723,2120.3
133,2025-01-14,Keyboard,Accessories,East,8,29866,5021.7
134,2025-01-19,Keyboard,Accessories,North,2,5282,951.51
135,2025-01-22,Phone,Electronics,South,3,37886,10980.31
136,2025-06-08,Laptop,Electronics,South,9,28274,6256.01
137,2025-03-18,Monitor,Electronics,West,7,30524,8598.64
138,2025-01-26,Headphones,Accessories,South,10,41699,4672.21
139,2025-02-10,Mouse,Accessories,South,4,18343,4257.15
140,2025-04-15,Phone,Electronics,West,9,5919,777.2
141,2025-03-01,Mouse,Accessories,East,10,31796,5031.78
142,2025-01-19,Mouse,Accessories,South,5,47070,12799.34
143,2025-02-20,Headphones,Accessories,West,10,44331,11560.69
144,2025-03-10,Laptop,Electronics,South,9,15733,3611.15
145,2025-06-02,Laptop,Electronics,East,1,11873,3069.48
146,2025-06-29,Keyboard,Accessories,West,2,31716,7540.02
147,2025-01-21,Headphones,Accessories,North,9,36388,7232.44
148,2025-01-24,Keyboard,Accessories,South,6,40564,6087.58
149,2025-06-22,Mouse,Accessories,East,10,39477,11454.54
150,2025-06-16,Monitor,Electronics,West,1,12481,2422.56
151,2025-05-06,Headphones,Accessories,North,3,39360,7367.29
152,2025-06-21,Keyboard,Accessories,North,6,27761,4626.69
153,2025-03-15,Phone,Electronics,West,6,27977,6679.08
154,2025-03-06,Monitor,Electronics,East,1,30807,3623.27
155,2025-01-01,Laptop,Electronics,West,7,34724,9201.35
156,2025-06-09,Keyboard,Accessories,West,1,13293,2707.62
157,2025-05-21,Mouse,Accessories,South,8,4382,616.6
158,2025-01-08,Headphones,Accessories,South,8,46760,9209.02
159,2025-05-22,Mouse,Accessories,West,3,21365,4490.24
160,2025-01-31,Laptop,Electronics,South,4,8435,1621.96
161,2025-04-17,Keyboard,Accessories,West,5,34349,8280.94
162,2025-04-09,Keyboard,Accessories,South,4,30935,6504.18
163,2025-01-18,Monitor,Electronics,East,9,49909,13768.16
164,2025-01-01,Keyboard,Accessories,East,6,34275,5258.97
165,2025-06-18,Mouse,Accessories,West,5,39465,8523.84
166,2025-03-27,Phone,Electronics,West,8,36296,7145.53
167,2025-03-03,Keyboard,Accessories,West,6,13363,3957.52
168,2025-05-02,Phone,Electronics,West,7,3860,631.63
169,2025-02-02,Keyboard,Accessories,East,3,33461,9802.9
170,2025-04-27,Laptop,Electronics,North,8,7534,1545.9
171,2025-02-09,Mouse,Accessories,North,3,27868,7641.03
172,2025-04-12,Keyboard,Accessories,North,5,23187,5209.0
173,2025-06-10,Headphones,Accessories,West,9,25904,7533.61
174,2025-06-11,Monitor,Electronics,East,1,41465,4713.91
175,2025-06-12,Phone,Electronics,North,2,29440,8704.45
176,2025-01-08,Keyboard,Accessories,North,3,46482,7432.16
177,2025-04-21,Headphones,Accessories,South,1,20226,3472.66
178,2025-02-16,Phone,Electronics,South,9,28004,5970.05
179,2025-06-08,Phone,Electronics,South,2,40943,11225.26
180,2025-06-13,Keyboard,Accessories,East,10,10379,1519.88
181,2025-04-30,Keyboard,Accessories,East,5,44702,4554.22
182,2025-03-30,Mouse,Accessories,East,9,11353,1303.01
183,2025-03-19,Mouse,Accessories,South,7,46240,6936.91
184,2025-05-27,Keyboard,Accessories,East,8,7989,1177.91
185,2025-06-18,Monitor,Electronics,West,5,46827,7447.65
186,2025-01-13,Headphones,Accessories,West,1,38088,10398.54
187,2025-02-26,Headphones,Accessories,South,4,40784,10619.6
188,2025-06-18,Monitor,Electronics,South,5,45417,11404.91
189,2025-03-21,Mouse,Accessories,West,2,42121,9657.0
190,2025-01-24,Laptop,Electronics,East,10,24911,6139.86
191,2025-05-19,Headphones,Accessories,East,7,12510,1753.39
192,2025-03-07,Monitor,Electronics,West,9,18860,5018.54
193,2025-01-20,Headphones,Accessories,South,6,8547,1655.27
194,2025-04-12,Phone,Electronics,North,7,37524,6497.47
195,2025-06-22,Headphones,Accessories,East,9,9099,1737.52
196,2025-01-28,Monitor,Electronics,South,7,42847,12342.44
197,2025-05-24,Keyboard,Accessories,East,1,41602,11517.39
198,2025-04-29,Monitor,Electronics,East,4,43444,4893.68
199,2025-01-10,Mouse,Accessories,East,7,8646,1106.3
200,2025-05-18,Keyboard,Accessories,South,2,7369,1082.95
